Timestamp,Email address,1. What task do you need to do?,2.Which course is this task for?,3.When is the task due?,4.What type of task is it?,5.How much time does this task take?,6.Which year are you studying in?,7.Where do you usually do this task?,8.What is the priority of this task?
45765.5209375,nishadevilatha@gmail.com,Assignment ,IoT,45777.0,Exam Preparation,2-3 hours,3rd year,Home,Medium
45765.5234375,nishadevilatha@gmail.com,Project,AIML,45792.0,Project,1 hour,3rd year,Home,High
45765.52376157408,thulasika005@gmail.com,Collect data for my project,Not Course Related,45769.0,Project,>3 hours,3rd year,Home,High
45765.52484953704,thulasika005@gmail.com,Assignment,Cloud Computing,45783.0,Assignment,1-2 hours,3rd year,Home,Low
45765.52570601852,thulasika005@gmail.com,Seminar,Video Editing,45768.0,Seminar Preparation,1 hour,3rd year,Home,Medium
45765.526354166665,thulasika005@gmail.com,Study oose ,OOSE,45768.0,Class Test,2-3 hours,3rd year,Home,High
45765.52711805556,thulasika005@gmail.com,Write Iot observation ,IoT,45768.0,Observation,1-2 hours,3rd year,Home and college,Medium
45765.53246527778,nishadevilatha@gmail.com,Study,Cloud Computing,45768.0,Test,1 hour,3rd year,Home,Low
45765.533159722225,nishadevilatha@gmail.com,Test,Renewable Energy,45771.0,Exam Preparation,1-2 hours,3rd year,Home,Medium
45765.53344907407,deepisaravanan26@gmail.com,Assignment,AIML,45768.0,Written Work,1 hour,2nd year,Home,Medium
45765.53428240741,nishadevilatha@gmail.com,Assignment ,Big Data Analytics,45782.0,Assignment,2-3 hours,3rd year,Home,High
45765.53741898148,deepisaravanan26@gmail.com,Study for test,Evs,45771.0,Exam Preparation,1 hour,2nd year,Home,Medium
45765.53931712963,deepisaravanan26@gmail.com,Preparation of exam,Ios,45799.0,Exam Preparation,>3 hours,2nd year,Home,Low
45765.540300925924,deepisaravanan26@gmail.com,Seminar ,TOC,45770.0,Teaching,1 hour,2nd year,Home,Medium
45765.55076388889,deepisaravanan26@gmail.com,Schedule timetable,DBMS,45770.0,Exam Preparation,30 min,2nd year,Home,Medium
45765.571863425925,thilbarnisha.0521@gmail.com,Assignment,TOC,45777.0,Assignment,1-2 hours,2nd year,Home,Medium
45765.57310185185,thilbarnisha.0521@gmail.com,Assignment ,Ios,45770.0,Quiz Preparation,1 hour,2nd year,Home,High
45765.573587962965,thilbarnisha.0521@gmail.com, Study,AIML,45783.0,Exam Preparation,2-3 hours,2nd year,Home,High
45765.57402777778,thilbarnisha.0521@gmail.com,Study ,Algorithm,45785.0,Exam Preparation,>3 hours,2nd year,Home,High
45765.574791666666,thilbarnisha.0521@gmail.com,Project ,Python,45808.0,Project,>3 hours,2nd year,Home and college,High
45765.5865625,afifah.cse@gmail.com,Assignment,DBMS,45768.0,Written Work,1 hour,2nd year,Home,Medium
45765.58739583333,afifah.cse@gmail.com,Seminar,Ios,45768.0,Preparation,1-2 hours,2nd year,Home,Medium
45765.58799768519,afifah.cse@gmail.com,Exam,TOC,45768.0,Exam Preparation,>3 hours,2nd year,Home,Medium
45765.66017361111,mahalakshmi.rmmh@gmail.com,For preparing aptitude question,Mathematics,45770.0,Quiz Preparation,1-2 hours,3rd year,Home,High
45765.66369212963,mahalakshmi.rmmh@gmail.com,For analysing datasets in health care sector in big data analytics course,CSE,45769.0,Assignment,1 hour,3rd year,Home and college,High
45765.663831018515,ghanashree2005@gmail.com,Assignment ,IoT,45766.0,Exam Preparation,1 hour,3rd year,Home,Medium
45765.66473379629,mahalakshmi.rmmh@gmail.com,To draw ER diagram for building my application,DBMS,45773.0,Project,1-2 hours,2nd year,Home and college,Medium
45765.66483796296,ghanashree2005@gmail.com,Seminar,OOSE,45773.0,Exam Preparation,1-2 hours,3rd year,Home,High
45765.66553240741,ghanashree2005@gmail.com,Test,Cloud Computing,45777.0,Exam Preparation,1 hour,3rd year,Home,High
45765.666354166664,mahalakshmi.rmmh@gmail.com,I want to start blog or youtube channel,Video Editing,45777.0,Short Film,>3 hours,3rd year,Home,Low
45765.66737268519,mahalakshmi.rmmh@gmail.com,I want to create a portfolio,CSE,45767.0,Placement Preparation,1 hour,4th year,Home and college,High
45765.81528935185,faaisabarveen@gmail.com,Project ,Javascript,45933.0,Project,>3 hours,2nd year,Home,High
45766.83550925926,vishnupriyagopinathan2005@gmail.com,Generate notes,App Development,45782.0,Project,2-3 hours,3rd year,Home,Medium
45766.83607638889,vishnupriyagopinathan2005@gmail.com,Assignment ,IoT,45768.0,Exam Preparation,2-3 hours,3rd year,Home,Medium
45766.83658564815,vishnupriyagopinathan2005@gmail.com,Quiz preparations ,Renewable Energy,45769.0,Quiz Preparation,1-2 hours,3rd year,Home,Medium
45766.84793981481,sobanaannadurai05@gmail.com,Assignment ,Cloud Computing,45779.0,Assignment,2-3 hours,3rd year,Home,High
45768.75880787037,sobanaannadurai05@gmail.com,Project ,Not Course Related,45782.0,Project,>3 hours,3rd year,Home,High
45768.7602662037,sobanaannadurai05@gmail.com,Study ,IoT,45769.0,Exam Preparation,>3 hours,3rd year,Home,Medium
45768.76096064815,sobanaannadurai05@gmail.com,Study ,Cloud Computing,45770.0,Exam Preparation,>3 hours,3rd year,Home,Medium
45768.76180555556,sobanaannadurai05@gmail.com,Prepare ,Not Course Related,45769.0,Quiz Preparation,2-3 hours,3rd year,Home and college,Low
45768.763703703706,sathanasathu685@gmail.com,Any task,It,45768.0,Project,30 min,3rd year,Home,Medium
45768.766180555554,sathanasathu685@gmail.com,Develop a project ,CSE,45768.0,Project,30 min,3rd year,Home,Low
45768.766689814816,sathanasathu685@gmail.com,App dev,AIML,45768.0,Project,1 hour,3rd year,Home,Low
45768.767118055555,sathanasathu685@gmail.com,App dev,CSE,45768.0,Project,1 hour,3rd year,Home,Medium
45768.767430555556,sathanasathu685@gmail.com,App dev,It,45768.0,Project,1 hour,3rd year,Home,Medium
45768.774189814816,subhavathi0705@gmail.com,College event notifications  ,Mobile Application Development,45777.0,Quiz Preparation,1 hour,3rd year,Home,Medium
45778.84512731482,nishadevilatha@gmail.com,Assignment ,Cloud Computing,45786.0,Assignment,2-3 hours,3rd year,Home,Medium
45778.845972222225,nishadevilatha@gmail.com,Test,IoT,45782.0,Exam Preparation,>3 hours,3rd year,Home,High
45778.8465625,nishadevilatha@gmail.com,Project,Renewable Energy,45784.0,Project,2-3 hours,3rd year,Home,High
45765.0,thulasika005@gmail.com,Assignment,IoT,45776.0,Written Work,1-2 hours,3rd year,Home and college,Medium
45765.0,thulasika005@gmail.com,Assignment,Cloud Computing,45783.0,Written Work,1-2 hours,3rd year,Home and college,Low
45765.0,thulasika005@gmail.com,Assignment,Big Data Analytics,45782.0,Written Work,1-2 hours,3rd year,Home and college,Low
45765.0,thulasika005@gmail.com,study ,OOSE,45768.0,Class Test,2-3 hours,3rd year,Home,High
45765.0,thulasika005@gmail.com,seminar,Video Editing,45768.0,Seminar Preparation,1 hour,3rd year,Home,High
45765.0,thulasika005@gmail.com,seminar,Renewable Energy,45769.0,Seminar Preparation,1 hour,3rd year,Home,Medium
45766.0,thulasika005@gmail.com,seminar,Game Development,45770.0,Seminar Preparation,1-2 hours,3rd year,Home,Medium
45766.0,thulasika005@gmail.com,collect dataset ,Not Course Related,45770.0,Project,>3 hours,3rd year,Home and college,Medium
45766.0,thulasika005@gmail.com,train model,Not Course Related,45771.0,Project,>3 hours,3rd year,Home and college,Low
45766.0,thulasika005@gmail.com,create code for project,Not Course Related,45772.0,Project,>3 hours,3rd year,Home and college,Low
45767.0,thulasika005@gmail.com,prepare for placement ,Not Course Related,45773.0,Placement Preparation,2-3 hours,3rd year,Home and college,Low
45767.0,thulasika005@gmail.com,aptitude,Not Course Related,45773.0,Placement Preparation,2-3 hours,3rd year,Home and college,Low
45768.0,thulasika005@gmail.com,aptitude,Not Course Related,45774.0,Placement Preparation,2-3 hours,3rd year,Home and college,Low
45769.0,thulasika005@gmail.com,study for unit test,Cloud Computing,45793.0,Exam Preparation,>3 hours,3rd year,Home,Low
45770.0,thulasika005@gmail.com,study for unit test,Renewable Energy,45794.0,Exam Preparation,>3 hours,3rd year,Home,Low
45771.0,thulasika005@gmail.com,study for unit test,Big Data Analytics,45795.0,Exam Preparation,>3 hours,3rd year,Home,Low
45772.0,thulasika005@gmail.com,study for unit test,IoT,45796.0,Exam Preparation,>3 hours,3rd year,Home,Low
45773.0,thulasika005@gmail.com,study for unit test,OOSE,45796.0,Exam Preparation,>3 hours,3rd year,Home,Low
45774.0,thulasika005@gmail.com,study for unit test,Video Editing,45796.0,Exam Preparation,>3 hours,3rd year,Home,Low
45775.0,thulasika005@gmail.com,collect dataset for aptitude,Not Course Related,45783.0,Project,>3 hours,3rd year,Home and college,Low
45775.0,thulasika005@gmail.com,collect dataset for reasoning,Not Course Related,45783.0,Project,>3 hours,3rd year,Home and college,Low
45775.0,thulasika005@gmail.com,collect dataset for coding,Not Course Related,45784.0,Project,>3 hours,3rd year,Home and college,Low
45775.0,thulasika005@gmail.com,collect dataset for quiz preparation,Not Course Related,45784.0,Project,>3 hours,3rd year,Home and college,Low
45775.0,thulasika005@gmail.com,search story,Video Editing,45793.0,Short Film,>3 hours,3rd year,Home and college,Low
45756.324849537035,williamskyle@example.com,Study,Cloud Computing,45798.39076388889,Exam Preparation,>3 hours,3rd year,Home,Medium
45764.21517361111,kgray@example.com,Study,Renewable Energy,45786.907060185185,Test,>3 hours,2nd year,Home and college,Medium
